INFO 2023-08-22 16:51:02,998 runserver HTTP GET /requests/expert 200 [1.61, 127.0.0.1:56548]
INFO 2023-08-22 16:51:05,599 runserver HTTP GET /media/default/default_profile_img.png 200 [2.52, 127.0.0.1:56548]
INFO 2023-08-22 16:52:50,188 runserver HTTP GET /requests/expert 200 [3.53, 127.0.0.1:56620]
INFO 2023-08-22 16:53:00,554 runserver HTTP GET /testimonials 200 [2.75, 127.0.0.1:56620]
INFO 2023-08-22 16:53:06,844 runserver HTTP GET /weather 200 [2.75, 127.0.0.1:56620]
INFO 2023-08-22 16:53:14,974 runserver HTTP POST /weather 200 [3.49, 127.0.0.1:56620]
INFO 2023-08-22 16:53:28,946 runserver HTTP GET /questions 200 [3.05, 127.0.0.1:56620]
INFO 2023-08-22 16:53:51,240 runserver HTTP GET /chat/expert 200 [3.29, 127.0.0.1:56620]
INFO 2023-08-22 16:54:17,942 runserver HTTP GET /chat/user 200 [4.19, 127.0.0.1:56620]
INFO 2023-08-22 16:54:25,028 runserver HTTP GET /chat/ai 200 [3.91, 127.0.0.1:56620]
INFO 2023-08-22 16:54:40,243 runserver HTTP GET / 200 [3.42, 127.0.0.1:56620]
